target,guess,correct,questions,final_prob,mode
Aang,Aang,True,7,0.9513176144244105,ideal
Albus Dumbledore,Albus Dumbledore,True,25,0.6750914308803265,ideal
Anna,Anna,True,7,0.9067574901546039,ideal
Aragorn,Aragorn,True,23,0.9725371363932727,ideal
Armin Arlert,Armin Arlert,True,12,0.9734455765036302,ideal
Arya Stark,Arya Stark,True,11,0.9747561632359981,ideal
Ash Ketchum,Ash Ketchum,True,16,0.9890035668209759,ideal
Atreus,Atreus,True,9,0.9760772095084095,ideal
Bart Simpson,Bart Simpson,True,5,0.9448617374534171,ideal
Batman,Batman,True,8,0.9039272535582499,ideal
Bilbo Baggins,Bilbo Baggins,True,12,0.9470281867913248,ideal
Black Widow,Black Widow,True,7,0.9892738397072889,ideal
Bowser,Bowser,True,8,0.9372974398601817,ideal
Captain America,Captain America,True,10,0.9371566230404142,ideal
Ciri,Ciri,True,5,0.8711879136305902,ideal
Cortana,Cortana,True,7,0.8709783059094007,ideal
Daenerys Targaryen,Daenerys Targaryen,True,13,0.9797687426698343,ideal
Darth Vader,Darth Vader,True,7,0.8649432534678435,ideal
Donkey,Donkey,True,8,0.9241182226886586,ideal
Dr. Eggman,Dr. Eggman,True,10,0.9612961760887525,ideal
Eleven,Eleven,True,6,0.9560914413158629,ideal
Ellie Williams,Ellie Williams,True,9,0.9760702837113155,ideal
Elsa,Elsa,True,7,0.9804321331307083,ideal
Eren Yeager,Eren Yeager,True,11,0.928741448118586,ideal
Fiona,Fiona,True,12,0.8754013568885605,ideal
Frodo Baggins,Frodo Baggins,True,12,0.8965454688969817,ideal
Gandalf,Gandalf,True,24,0.9254237680882093,ideal
Ganondorf,Ganondorf,True,7,0.9428218183701258,ideal
Geralt of Rivia,Geralt of Rivia,True,6,0.9108643079804857,ideal
Goku,Goku,True,6,0.8692007043192914,ideal
Han Solo,Han Solo,True,16,0.957615601548831,ideal
Harley Quinn,Harley Quinn,True,11,0.9829612309548952,ideal
